web-scraper-order,web-scraper-start-url,getcomments
"1618405986-122","https://www.instagram.com/p/CNoSB5ZDGfI/","5&8"
"1618405986-87","https://www.instagram.com/p/CNoSB5ZDGfI/","5 & 8"
"1618405986-240","https://www.instagram.com/p/CNoSB5ZDGfI/","8 & 2"
"1618405986-178","https://www.instagram.com/p/CNoSB5ZDGfI/","6!!!"
"1618405986-80","https://www.instagram.com/p/CNoSB5ZDGfI/","5 and 7"
"1618405986-300","https://www.instagram.com/p/CNoSB5ZDGfI/","6 & 8"
"1618405986-235","https://www.instagram.com/p/CNoSB5ZDGfI/","5&8"
"1618405986-126","https://www.instagram.com/p/CNoSB5ZDGfI/","5"
"1618405986-197","https://www.instagram.com/p/CNoSB5ZDGfI/","5&6"
"1618405986-127","https://www.instagram.com/p/CNoSB5ZDGfI/","1 and 8"
"1618405986-237","https://www.instagram.com/p/CNoSB5ZDGfI/","4&8"
"1618405986-326","https://www.instagram.com/p/CNoSB5ZDGfI/","6!"
"1618405986-215","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-109","https://www.instagram.com/p/CNoSB5ZDGfI/","5&6"
"1618405986-79","https://www.instagram.com/p/CNoSB5ZDGfI/","6, 8"
"1618405986-213","https://www.instagram.com/p/CNoSB5ZDGfI/","6"
"1618405986-116","https://www.instagram.com/p/CNoSB5ZDGfI/","1+6"
"1618405986-206","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-25","https://www.instagram.com/p/CNoSB5ZDGfI/","6!!"
"1618405986-38","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-176","https://www.instagram.com/p/CNoSB5ZDGfI/","5,6"
"1618405986-266","https://www.instagram.com/p/CNoSB5ZDGfI/","4+8"
"1618405986-321","https://www.instagram.com/p/CNoSB5ZDGfI/","1 & 6"
"1618405986-105","https://www.instagram.com/p/CNoSB5ZDGfI/","5"
"1618405986-241","https://www.instagram.com/p/CNoSB5ZDGfI/","4 & 8"
"1618405986-328","https://www.instagram.com/p/CNoSB5ZDGfI/","1 & 8"
"1618405986-317","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-32","https://www.instagram.com/p/CNoSB5ZDGfI/","2 and 8"
"1618405986-159","https://www.instagram.com/p/CNoSB5ZDGfI/","2 & 8!"
"1618405986-72","https://www.instagram.com/p/CNoSB5ZDGfI/","2 & 6"
"1618405986-31","https://www.instagram.com/p/CNoSB5ZDGfI/","8!"
"1618405986-312","https://www.instagram.com/p/CNoSB5ZDGfI/","6"
"1618405986-232","https://www.instagram.com/p/CNoSB5ZDGfI/","2 and 5"
"1618405986-195","https://www.instagram.com/p/CNoSB5ZDGfI/","5 and 8"
"1618405986-310","https://www.instagram.com/p/CNoSB5ZDGfI/","1 and 6"
"1618405986-292","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-323","https://www.instagram.com/p/CNoSB5ZDGfI/","Designer for #4 here... Strong work everybody!!! 🙌💪🔥"
"1618405986-158","https://www.instagram.com/p/CNoSB5ZDGfI/","5 and 6 :)"
"1618405986-19","https://www.instagram.com/p/CNoSB5ZDGfI/","Designer for 8 here! So many of these look great thank for the opportunity 🙌"
"1618405986-202","https://www.instagram.com/p/CNoSB5ZDGfI/","2 & 5"
"1618405986-288","https://www.instagram.com/p/CNoSB5ZDGfI/","5 & 8"
"1618405986-290","https://www.instagram.com/p/CNoSB5ZDGfI/","2 and 5"
"1618405986-352","https://www.instagram.com/p/CNoSB5ZDGfI/","2 & 5!"
"1618405986-163","https://www.instagram.com/p/CNoSB5ZDGfI/","6 & 7"
"1618405986-111","https://www.instagram.com/p/CNoSB5ZDGfI/","5&6"
"1618405986-144","https://www.instagram.com/p/CNoSB5ZDGfI/","6,8"
"1618405986-63","https://www.instagram.com/p/CNoSB5ZDGfI/","1 and 4"
"1618405986-20","https://www.instagram.com/p/CNoSB5ZDGfI/","Designer for 5 here! Thanks for this opportunity and great designs by everyone 🙌❤️"
"1618405986-339","https://www.instagram.com/p/CNoSB5ZDGfI/","5 & 6"
"1618405986-268","https://www.instagram.com/p/CNoSB5ZDGfI/","5 and 6"
"1618405986-107","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-100","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-23","https://www.instagram.com/p/CNoSB5ZDGfI/","2 and 8!"
"1618405986-275","https://www.instagram.com/p/CNoSB5ZDGfI/","4,8"
"1618405986-193","https://www.instagram.com/p/CNoSB5ZDGfI/","1"
"1618405986-165","https://www.instagram.com/p/CNoSB5ZDGfI/","❤️❤️❤️❤️❤️ n 1 n 6"
"1618405986-139","https://www.instagram.com/p/CNoSB5ZDGfI/","5, 6, and 8!"
"1618405986-353","https://www.instagram.com/p/CNoSB5ZDGfI/","6 & 7"
"1618405986-36","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-57","https://www.instagram.com/p/CNoSB5ZDGfI/","5 & 8"
"1618405986-253","https://www.instagram.com/p/CNoSB5ZDGfI/","5 and 8"
"1618405986-51","https://www.instagram.com/p/CNoSB5ZDGfI/","6 & 8"
"1618405986-81","https://www.instagram.com/p/CNoSB5ZDGfI/","5 / 8!"
"1618405986-14","https://www.instagram.com/p/CNoSB5ZDGfI/","4 & 8"
"1618405986-147","https://www.instagram.com/p/CNoSB5ZDGfI/","8 & 6"
"1618405986-350","https://www.instagram.com/p/CNoSB5ZDGfI/","6!"
"1618405986-302","https://www.instagram.com/p/CNoSB5ZDGfI/","6!! 👏🏼 everyone did a great job, but number 6  really stands out."
